Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
41737143,02/19/2019 02:08:33 PM,02/19/2019 02:08:33 PM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,,10032,775 RIVERSIDE DRIVE,RIVERSIDE DRIVE,,,,,ADDRESS,NEW YORK,,N/A,Open,,Your Service Request has been submitted to the Department of Buildings. Please check back later for status.,02/19/2019 12:00:00 AM,12 MANHATTAN,1021347504,MANHATTAN,998733,243357,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.8346222,-73.9476621,"(40.8346222, -73.9476621)"
41737144,02/19/2019 11:46:09 AM,02/19/2019 01:09:40 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10306,102 JEFFERSON AVENUE,JEFFERSON AVENUE,SOUTH RAILROAD AVENUE,HUSSON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/19/2019 07:46:09 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/19/2019 01:09:40 PM,02 STATEN ISLAND,5035570031,STATEN ISLAND,955868,151982,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.5837861,-74.1021802,"(40.5837861, -74.1021802)"
41737145,02/19/2019 10:21:00 AM,02/19/2019 04:15:29 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,400 LINDEN BOULEVARD,LINDEN BOULEVARD,EAST 35 STREET,BROOKLYN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/19/2019 06:21:00 PM,The Police Department issued a summons in response to the complaint.,02/19/2019 04:15:29 PM,17 BROOKLYN,3048720006,BROOKLYN,999663,177164,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6529375,-73.944453,"(40.6529375, -73.944453)"
41737146,02/19/2019 11:57:37 PM,02/20/2019 07:09:13 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,1355 EAST 18 STREET,EAST 18 STREET,AVENUE M,AVENUE N,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/20/2019 07:57:37 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/20/2019 07:09:13 AM,14 BROOKLYN,3067470073,BROOKLYN,996191,164201,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6173622,-73.9569887,"(40.6173622, -73.9569887)"
41737147,02/19/2019 08:42:51 AM,02/19/2019 04:34:02 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,682 ARGYLE ROAD,ARGYLE ROAD,FOSTER AVENUE,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/19/2019 04:42:51 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/19/2019 04:34:02 PM,14 BROOKLYN,3052330067,BROOKLYN,994047,169763,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6326313,-73.9647033,"(40.6326313, -73.9647033)"
41737148,02/19/2019 07:28:08 AM,02/19/2019 08:16:53 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11416,77-01 101 AVENUE,101 AVENUE,77 STREET,78 STREET,,,ADDRESS,OZONE PARK,,Precinct,Closed,02/19/2019 03:28:08 PM,The Police Department issued a summons in response to the complaint.,02/19/2019 08:16:53 AM,09 QUEENS,4090490039,QUEENS,1022964,187114,MOBILE,Unspecified,QUEENS,,,,,,,,40.6801768,-73.8604213,"(40.6801768, -73.8604213)"
41737149,02/19/2019 12:04:34 PM,02/19/2019 03:28:11 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11213,1689 UNION STREET,UNION STREET,TROY AVENUE,SCHENECTADY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/19/2019 08:04:34 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/19/2019 03:28:11 PM,09 BROOKLYN,3013950046,BROOKLYN,1002434,182657,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6680093,-73.9344517,"(40.6680093, -73.9344517)"
41737150,02/19/2019 07:39:26 PM,02/19/2019 11:05:22 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11213,1136 PARK PLACE,PARK PLACE,VIRGINIA PLACE,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/20/2019 03:39:26 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/19/2019 11:05:22 PM,08 BROOKLYN,3012440073,BROOKLYN,1000938,184420,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6728513,-73.93984,"(40.6728513, -73.93984)"
41737151,02/19/2019 08:37:21 AM,02/19/2019 09:30:13 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11213,817 CROWN STREET,CROWN STREET,UTICA AVENUE,FORD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/19/2019 04:37:21 PM,The Police Department issued a summons in response to the complaint.,02/19/2019 09:30:14 AM,09 BROOKLYN,3014150081,BROOKLYN,1003592,181626,PHONE,Unspecified,BROOKLYN,,,,,,,,40.665177,-73.9302804,"(40.665177, -73.9302804)"
41737152,02/19/2019 09:36:08 AM,02/19/2019 11:34:27 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,,,,,PALMETTO STREET,60 PLACE,INTERSECTION,RIDGEWOOD,,Precinct,Closed,02/19/2019 05:36:08 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/19/2019 11:34:27 AM,05 QUEENS,,QUEENS,1011684,197115,PHONE,Unspecified,QUEENS,,,,,,,,40.7076693,-73.9010492,"(40.7076693, -73.9010492)"
