date,state,cases
2020-12-31,AK,495
2020-12-31,AL,4406
2020-12-31,AR,2708
2020-12-31,AS,0
2020-12-31,AZ,7718
2020-12-31,CA,27237
2020-12-31,CO,3238
2020-12-31,CT,2045
2020-12-31,DC,225
2020-12-31,DE,860
2020-12-31,FL,16827
2020-12-31,GA,8499
2020-12-31,GU,9
2020-12-31,HI,188
2020-12-31,IA,1323
2020-12-31,ID,1340
2020-12-31,IL,8009
2020-12-31,IN,6468
2020-12-31,KS,0
2020-12-31,KY,0
2020-12-31,LA,4046
2020-12-31,MA,7260
2020-12-31,MD,2973
2020-12-31,ME,702
2020-12-31,MI,0
2020-12-31,MN,2195
2020-12-31,MO,3714
2020-12-31,MP,0
2020-12-31,MS,2756
2020-12-31,MT,255
2020-12-31,NC,6715
2020-12-31,ND,293
2020-12-31,NE,1516
2020-12-31,NH,786
2020-12-31,NJ,5096
2020-12-31,NM,1678
2020-12-31,NV,2137
2020-12-31,NY,16802
2020-12-31,OH,9632
2020-12-31,OK,3906
2020-12-31,OR,1649
2020-12-31,PA,8992
2020-12-31,PR,403
2020-12-31,RI,0
2020-12-31,SC,4032
2020-12-31,SD,444
2020-12-31,TN,5993
2020-12-31,TX,18725
2020-12-31,UT,4672
2020-12-31,VA,5239
2020-12-31,VI,21
2020-12-31,VT,136
2020-12-31,WA,1484
2020-12-31,WI,4212
2020-12-31,WV,1109
2020-12-31,WY,276
2020-12-30,AK,385
2020-12-30,AL,5016
2020-12-30,AR,3184
2020-12-30,AS,0
2020-12-30,AZ,5267
2020-12-30,CA,30921
2020-12-30,CO,2451
2020-12-30,CT,1696
2020-12-30,DC,223
2020-12-30,DE,407
2020-12-30,FL,13638
2020-12-30,GA,5465
2020-12-30,GU,15
2020-12-30,HI,106
2020-12-30,IA,1052
2020-12-30,ID,1514
2020-12-30,IL,7374
2020-12-30,IN,4735
2020-12-30,KS,6371
2020-12-30,KY,3770
2020-12-30,LA,6744
2020-12-30,MA,6839
2020-12-30,MD,2628
2020-12-30,ME,590
2020-12-30,MI,4782
2020-12-30,MN,1997
2020-12-30,MO,2761
2020-12-30,MP,0
2020-12-30,MS,3023
2020-12-30,MT,874
2020-12-30,NC,8551
2020-12-30,ND,371
2020-12-30,NE,932
2020-12-30,NH,545
2020-12-30,NJ,4642
2020-12-30,NM,1311
2020-12-30,NV,2470
2020-12-30,NY,13422
2020-12-30,OH,8178
2020-12-30,OK,3249
2020-12-30,OR,1033
2020-12-30,PA,8984
2020-12-30,PR,98
2020-12-30,RI,1160
2020-12-30,SC,2873
2020-12-30,SD,562
2020-12-30,TN,8220
2020-12-30,TX,21469
2020-12-30,UT,2614
2020-12-30,VA,4048
2020-12-30,VI,31
2020-12-30,VT,74
2020-12-30,WA,2174
2020-12-30,WI,3170
2020-12-30,WV,1452
2020-12-30,WY,210
2020-12-29,AK,175
2020-12-29,AL,3907
2020-12-29,AR,2718
2020-12-29,AS,0
2020-12-29,AZ,2799
2020-12-29,CA,31245
2020-12-29,CO,1740
2020-12-29,CT,767
2020-12-29,DC,193
2020-12-29,DE,701
2020-12-29,FL,11748
2020-12-29,GA,5853
2020-12-29,GU,12
2020-12-29,HI,75
2020-12-29,IA,697
2020-12-29,ID,795
2020-12-29,IL,5644
2020-12-29,IN,3976
2020-12-29,KS,0
2020-12-29,KY,2975
2020-12-29,LA,3946
2020-12-29,MA,4145
2020-12-29,MD,1878
2020-12-29,ME,590
2020-12-29,MI,3963
2020-12-29,MN,972
2020-12-29,MO,2479
2020-12-29,MP,0
2020-12-29,MS,1943
2020-12-29,MT,427
2020-12-29,NC,3563
2020-12-29,ND,272
2020-12-29,NE,875
2020-12-29,NH,1027
2020-12-29,NJ,3657
2020-12-29,NM,1216
2020-12-29,NV,1747
2020-12-29,NY,11438
2020-12-29,OH,7526
2020-12-29,OK,1194
2020-12-29,OR,682
2020-12-29,PA,8545
2020-12-29,PR,2132
2020-12-29,RI,1187
2020-12-29,SC,2552
2020-12-29,SD,501
2020-12-29,TN,4797
2020-12-29,TX,32552
2020-12-29,UT,2736
2020-12-29,VA,4122
2020-12-29,VI,0
2020-12-29,VT,82
2020-12-29,WA,1953
2020-12-29,WI,2919
2020-12-29,WV,1337
2020-12-29,WY,219
2020-12-28,AK,126
2020-12-28,AL,2269
2020-12-28,AR,1651
2020-12-28,AS,0
2020-12-28,AZ,10086
2020-12-28,CA,33170
2020-12-28,CO,1650
2020-12-28,CT,8457
2020-12-28,DC,140
2020-12-28,DE,431
2020-12-28,FL,8040
2020-12-28,GA,3152
2020-12-28,GU,11
2020-12-28,HI,45
2020-12-28,IA,562
2020-12-28,ID,428
2020-12-28,IL,4453
2020-12-28,IN,2465
2020-12-28,KS,6373
2020-12-28,KY,1454
2020-12-28,LA,817
2020-12-28,MA,4198
2020-12-28,MD,1985
2020-12-28,ME,439
2020-12-28,MI,3550
2020-12-28,MN,1077
