FL_DATE,FLIGHTS
2012Q1,1455412
2012Q2,1535348
2012Q3,1557361
2012Q4,1469779
2013Q1,1503754
2013Q2,1611627
2013Q3,1625802
2013Q4,1532287
2014Q1,1341890
2014Q2,1460186
2014Q3,1476745
2014Q4,1414006
2015Q1,1359970
2015Q2,1466707
2015Q3,1484267
2015Q4,1418251
2016Q1,1325617
2016Q2,1417025
2016Q3,1437963
2016Q4,1371192
2017Q1,1325406
2017Q2,1432262
2017Q3,1446141
2017Q4,1388119
2018Q1,1659411
2018Q2,1814668
2018Q3,1844153
2018Q4,1778630
2019Q1,1704689
2019Q2,1844377
2019Q3,1889227
2019Q4,1848819
2020Q1,1707593
2020Q2,575227
2020Q3,1044411
2020Q4,350246
