Date,Holiday
2019-01-01,New Year's Day
2019-01-02,New Year's Day
2019-01-03,New Year's Day
2019-01-04,New Year's Day
2019-01-05,New Year's Day
2019-01-06,New Year's Day
2019-01-07,New Year's Day
2019-01-08,New Year's Day
2019-01-09,New Year's Day
2019-01-10,New Year's Day
2019-01-11,New Year's Day
2019-01-12,Birthday of Martin Luther King Jr.
2019-01-13,Birthday of Martin Luther King Jr.
2019-01-14,Birthday of Martin Luther King Jr.
2019-01-15,Birthday of Martin Luther King Jr.
2019-01-16,Birthday of Martin Luther King Jr.
2019-01-17,Birthday of Martin Luther King Jr.
2019-01-18,Birthday of Martin Luther King Jr.
2019-01-19,Birthday of Martin Luther King Jr.
2019-01-20,Birthday of Martin Luther King Jr.
2019-01-21,Birthday of Martin Luther King Jr.
2019-01-22,Birthday of Martin Luther King Jr.
2019-01-23,Birthday of Martin Luther King Jr.
2019-01-24,Birthday of Martin Luther King Jr.
2019-01-25,Birthday of Martin Luther King Jr.
2019-01-26,Birthday of Martin Luther King Jr.
2019-01-27,Birthday of Martin Luther King Jr.
2019-01-28,Birthday of Martin Luther King Jr.
2019-01-29,Birthday of Martin Luther King Jr.
2019-01-30,Birthday of Martin Luther King Jr.
2019-01-31,Birthday of Martin Luther King Jr.
2019-02-08,Washington's Birthday
2019-02-09,Washington's Birthday
2019-02-10,Washington's Birthday
2019-02-11,Washington's Birthday
2019-02-12,Washington's Birthday
2019-02-13,Washington's Birthday
2019-02-14,Washington's Birthday
2019-02-15,Washington's Birthday
2019-02-16,Washington's Birthday
2019-02-17,Washington's Birthday
2019-02-18,Washington's Birthday
2019-02-19,Washington's Birthday
2019-02-20,Washington's Birthday
2019-02-21,Washington's Birthday
2019-02-22,Washington's Birthday
2019-02-23,Washington's Birthday
2019-02-24,Washington's Birthday
2019-02-25,Washington's Birthday
2019-02-26,Washington's Birthday
2019-02-27,Washington's Birthday
2019-02-28,Washington's Birthday
2019-05-17,Memorial Day
2019-05-18,Memorial Day
2019-05-19,Memorial Day
2019-05-20,Memorial Day
2019-05-21,Memorial Day
2019-05-22,Memorial Day
2019-05-23,Memorial Day
2019-05-24,Memorial Day
2019-05-25,Memorial Day
2019-05-26,Memorial Day
2019-05-27,Memorial Day
2019-05-28,Memorial Day
2019-05-29,Memorial Day
2019-05-30,Memorial Day
2019-05-31,Memorial Day
2019-06-01,Memorial Day
2019-06-02,Memorial Day
2019-06-03,Memorial Day
2019-06-04,Memorial Day
2019-06-05,Memorial Day
2019-06-06,Memorial Day
2019-06-24,Independence Day
2019-06-25,Independence Day
2019-06-26,Independence Day
2019-06-27,Independence Day
2019-06-28,Independence Day
2019-06-29,Independence Day
2019-06-30,Independence Day
2019-07-01,Independence Day
2019-07-02,Independence Day
2019-07-03,Independence Day
2019-07-04,Independence Day
2019-07-05,Independence Day
2019-07-06,Independence Day
2019-07-07,Independence Day
2019-07-08,Independence Day
2019-07-09,Independence Day
2019-07-10,Independence Day
2019-07-11,Independence Day
2019-07-12,Independence Day
2019-07-13,Independence Day
2019-07-14,Independence Day
