,Date,Holiday
80,2019-01-01,New Year's Day
81,2019-01-21,Birthday of Martin Luther King Jr.
82,2019-02-18,Washington's Birthday
83,2019-05-27,Memorial Day
84,2019-07-04,Independence Day
85,2019-09-02,Labor Day
86,2019-10-14,Columbus Day
87,2019-11-11,Veterans Day
88,2019-11-28,Thanksgiving Day
89,2019-12-25,Christmas Day
90,2020-01-01,New Year's Day
91,2020-01-20,Birthday of Martin Luther King Jr.
92,2020-02-17,Washington's Birthday
93,2020-05-25,Memorial Day
94,2020-07-03,Independence Day
95,2020-09-07,Labor Day
96,2020-10-12,Columbus Day
97,2020-11-11,Veterans Day
98,2020-11-26,Thanksgiving Day
99,2020-12-25,Christmas Day
